,CustomerCode,ProductCode,Month,ID.x,SalesQuantity,GrossValue,NetValue,ProductDesc,GroupCode,GroupDesc,ManufacturerCode,ManufacturerDesc,DivisionCode,DivisionDesc,CustomerDesc,ChannelCode,ChannelDesc,SalespersonCode,SalespersonDesc,ZoneCode,ZoneDesc,RegionCode,RegionDesc,ID.y,ProductCost,DistributionCost,SalesCommission,ID,BudgetQuantity,BudgetNetValue,BudgetMarginPercent,BudgetDelta
1,0,42,201102,13434,120,323.674,229.5242,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A B CHALMERS,0,Retail,0,Aaron Anthony,0,New Orleans,9,South,13434,108.8945,11.0632,27.3567,1130,172,414.0637,0.008095,52
2,0,1467,201103,14278,252,821.6571,112.7123,Watermelon Scented Body Wash,4,Body Wash,N,NoviProducts,A,Soap,A B CHALMERS,0,Retail,0,Aaron Anthony,0,New Orleans,9,South,14278,40.2769,5.7771,21.7897,1974,146,447.4561,0.007082,-106
3,0,1467,201110,17228,180,523.5145,73.5513,Watermelon Scented Body Wash,4,Body Wash,N,NoviProducts,A,Soap,A B CHALMERS,0,Retail,0,Aaron Anthony,0,New Orleans,9,South,17228,29.5993,5.6808,14.4115,5201,120,270.1536,0.004537,-60
4,0,1815,201106,15200,132,960.8229,101.0675,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,A B CHALMERS,0,Retail,0,Aaron Anthony,0,New Orleans,9,South,15200,83.8303,6.1886,42.0334,3439,130,469.356,0.003222,-2
5,0,1815,201110,16688,228,891.2881,171.1965,Moisturizing Body Wash,4,Body Wash,N,NoviProducts,A,Soap,A B CHALMERS,0,Retail,0,Aaron Anthony,0,New Orleans,9,South,16688,107.4062,11.6609,31.7812,5317,329,1047.2945,-0.005684,101
6,1,19,201109,16494,600,877.9215,128.9152,SPF 15 Sport Sunscreen,8,Sport Sunscreen,P,SimpleSkin,B,Sunscreen,A F BLAKEMORE 1,0,Retail,0,Aaron Anthony,1,Miami,4,South-East,16494,76.5797,8.9974,23.1809,4433,754,1146.1101,0.035681,154
7,1,41,201102,13610,144,320.0788,307.3168,Mountain Fresh Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A F BLAKEMORE 1,0,Retail,0,Aaron Anthony,1,Miami,4,South-East,13610,95.3494,21.4704,58.6546,1222,129,247.5511,0.018782,-15
8,1,41,201109,16620,180,382.3207,301.4168,Mountain Fresh Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A F BLAKEMORE 1,0,Retail,0,Aaron Anthony,1,Miami,4,South-East,16620,139.6704,13.1185,26.9428,4325,206,441.5436,0.019983,26
9,1,42,201102,13611,192,426.7717,470.7166,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A F BLAKEMORE 1,0,Retail,0,Aaron Anthony,1,Miami,4,South-East,13611,282.9087,29.0654,98.467,1223,329,550.1135,0.009925,137
10,1,42,201106,15462,120,518.264,201.8811,Clean Comfort Shower Gel for Men,4,Body Wash,N,NoviProducts,A,Soap,A F BLAKEMORE 1,0,Retail,0,Aaron Anthony,1,Miami,4,South-East,15462,133.8256,17.4995,73.9333,3261,124,241.0317,0.002975,4
